property_id,location,area_sqft,bedrooms,bathrooms,age_years,price_lakhs,parking_spaces,amenities_count
1,Hyderabad,875.8621160600844,1,4,2.4266725364834487,483.07402860894456,1,9
2,Chennai,1450.0667415111684,5,2,37.21404696470821,30.858347421008325,1,5
3,Bangalore,3886.1075191392247,3,4,37.30467310971134,303.18111030852253,3,8
4,Chennai,730.8223204154701,5,4,33.53628700393616,392.65638166354677,2,2
5,Chennai,2716.409213214302,4,1,32.18168940598103,398.19023026146704,0,7
6,Delhi,2489.48165605874,4,4,12.18585660837631,36.456865084737814,2,4
7,Bangalore,2004.805305449369,4,3,1.1172466883145604,455.0792636674108,1,6
8,Bangalore,2275.5754189351574,5,1,40.43576984427199,460.8568025250186,3,2
9,Bangalore,2884.732641186048,5,3,24.556926784791344,289.4673791140989,0,7
10,Chennai,1226.1531127477242,5,1,15.341906535130917,251.39993546583014,0,1
11,Hyderabad,3073.9814522761676,1,2,5.096595339028504,41.53638227004791,1,7
12,Bangalore,4124.445481849938,5,2,3.1360795450694203,289.73798840473694,0,1
13,Chennai,3920.724184055716,4,2,17.443336089758866,216.50195924971075,2,6
14,Delhi,1192.5495711219814,2,4,40.236853238347024,390.94707555615497,1,1
15,Hyderabad,1171.6226138366326,5,2,45.93618746669152,213.86411210532216,1,6
16,Delhi,1706.78465485211,2,1,44.83756823065323,348.1187999958607,0,0
17,Hyderabad,2124.8362685346674,4,2,46.000041737482746,68.67591019401479,1,5
18,Chennai,2338.0501163381714,5,1,45.386267156467134,83.81708996766413,3,9
19,Mumbai,3558.637475750054,1,3,26.361237580019793,87.06089151159601,2,6
20,Hyderabad,755.0619447462593,1,4,10.970781927845191,41.85223990387689,1,3
21,Delhi,656.0271690172988,2,3,39.90232914184102,279.8378524495058,3,0
22,Chennai,2263.597533247591,1,3,10.68564874262895,401.10450850094526,0,5
23,Hyderabad,3637.236614620912,1,2,13.360363837828453,312.99737777295974,1,3
24,Mumbai,1370.4590433041717,1,2,11.662716091127423,295.978345065371,3,2
25,Mumbai,3386.7701656531326,4,2,25.749120184790293,346.6994856333135,0,3
26,Bangalore,1669.2266207313476,1,3,16.091375408453995,183.0297550745671,3,5
27,Bangalore,4487.387489660823,3,4,7.707802481267073,193.73795439114988,0,4
28,Delhi,4530.604749199774,5,4,22.65867059469412,170.84964714604283,2,1
29,Hyderabad,1837.792419265969,1,3,43.69536193925835,361.81228776971625,1,1
30,Hyderabad,1534.9718928345824,1,4,28.52764274749861,97.58736112197167,2,2
31,Bangalore,2350.867874298041,1,3,43.91678029437935,26.252134550203703,2,5
32,Hyderabad,1582.3921333106694,3,3,9.79360925395687,306.17429442679634,1,0
33,Hyderabad,3525.7272948126665,1,4,8.348693683627701,472.3430550724186,2,6
34,Mumbai,4217.291080467285,1,1,28.778856284921012,312.5158001582263,2,7
35,Bangalore,3528.9145891004764,5,1,23.166445077313654,395.8023934116296,3,6
36,Chennai,4209.577012622072,3,2,33.008632082347845,342.9395405436945,0,2
37,Bangalore,2286.464729933634,3,4,39.731339551339076,258.7695936910478,2,5
38,Chennai,1203.4263681898738,1,2,37.565364782608825,364.82835285624606,1,3
39,Mumbai,3820.7792632891646,3,3,47.113058682928056,415.5699794505065,3,4
40,Delhi,2122.1352731369925,2,1,19.91282045785058,127.87118920241504,0,2
41,Hyderabad,3520.7187135310965,3,4,10.319337112409038,181.34263063190986,2,4
42,Mumbai,1717.8977389179456,3,4,27.54563199739429,127.38835160157626,2,5
43,Hyderabad,865.533356630027,3,4,5.53715600955928,237.04301868341167,1,7
44,Delhi,4966.618079694935,4,1,14.442556166581571,444.83098444000046,2,5
45,Delhi,1202.9067856876968,4,2,10.394402763157224,185.69940840095953,1,8
46,Mumbai,4947.894472835665,4,1,19.828185839854047,199.74410678266563,2,9
47,Delhi,4897.759696549013,3,2,5.560828750110769,432.97627264252725,2,9
48,Chennai,4072.1814675861783,2,3,1.5920872274048925,267.3796787574441,1,9
49,Delhi,3467.403329368989,3,3,32.83970023150159,277.01551983076854,0,9
50,Hyderabad,3100.131726129881,1,2,30.512448914490243,433.18457759946216,3,3
